lnTotalAssets,lnTobinQ,lnRDStock_TangFixedAssets,lnPatentStock_RDStock,lnCitesStock_PatentStock
14.2981,-6.911561,-1.297223,-3.13527,0
13.5525,-7.838515,-1.375563,-0.769952,0
12.78075,-7.148373,-1.795671,2.552371,2.392866
14.74646,-6.073689,-0.3552432,-1.324632,1.099698
12.42228,-6.566512,-1.549282,-0.7788393,0
12.96091,-6.514811,-1.510265,0.78909,-0.8958818
16.18567,-7.751739,-0.5490431,-1.821391,0.2435135
15.19217,-6.368321,-0.9355714,-0.0796415,0.7484621
14.08257,-5.923411,0.0002045,-2.507308,0
14.51443,-6.744431,-0.737166,-1.746167,1.653086
17.91247,-7.058701,-2.350627,-2.142961,0.6104108
13.85238,-6.020028,-1.145451,0.7748039,1.075846
13.02291,-6.314975,-0.9228132,-1.884551,-0.0945586
15.56159,-7.386246,-1.929351,-0.4523079,1.430605
13.66948,-7.056846,-3.101819,2.01066,-2.470348
14.60677,-5.843913,-0.0029444,-1.195154,1.612803
18.67653,-6.805095,-0.7290978,-2.10315,1.417572
12.99813,-6.726112,-1.666395,0.2498777,-0.0178336
14.35754,-6.977489,-2.164898,-0.6766025,1.937766
14.84318,-7.121643,-2.039076,-1.507866,0
15.56858,-6.965763,-1.206107,-2.187396,1.089303
14.29976,-6.127504,-0.4561805,0.0107382,2.642673
13.66638,-5.830565,-0.9229392,-0.4131881,1.198095
14.30883,-7.196834,-2.916234,1.406092,0
15.87815,-5.803048,-0.8244723,-0.5147459,2.09986
13.18428,-5.592791,-1.051179,0.4638127,0.6165863
12.38973,-5.280593,-1.778487,-0.0866005,-0.1030511
14.4406,-6.557897,-0.8316426,1.051384,0
13.78199,-5.871,-0.6712067,-2.099207,0
15.65956,-6.211073,-1.64395,-0.9622461,0.1117112
13.68641,-7.172811,1.434732,-1.426252,0.8116792
13.20687,-8.095545,-5.283171,2.209937,0
18.63028,-4.615954,0.6772333,-4.356765,1.230922
16.0654,-6.487164,-1.734961,0.4640177,0.9414576
15.84399,-7.162703,-1.414592,-0.4688179,0.9303865
18.21855,-6.030127,-1.779157,2.17651,-1.759672
11.32813,-2.284392,1.022427,3.626884,0.7355129
