state,STATE1,year,lnsG_R_AppTot2931,lnsG_R10_AppTot2931,lnsfood,lnsagri,YY1,YY2,YY3,YY4,YY5,YY6,YY7,YY8,YY9,YY10,YY11,YY12,YY13,YY14,YY15,YY16,YY17
IA,IA,2011,-4.421904,-4.945575,-2.20061,-3.079049,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IA,IA,2012,-4.343544,-4.882082,-2.162351,-2.88599,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IA,IA,2013,-4.314517,-4.913436,-2.152728,-3.315515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IA,IA,2014,-4.361295,-4.927405,-2.079987,-2.632637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IA,IA,2015,-4.544065,-5.0915,-2.30064,-2.837779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ID,ID,2006,-3.457009,-3.99576,-3.034721,-3.599205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ID,ID,2007,-3.449322,-3.97542,-2.759356,-3.530708,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ID,ID,2008,-3.429628,-4.001465,-2.509189,-3.271805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ID,ID,2009,-3.405599,-3.928827,-2.731339,-3.254853,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ID,ID,2010,-3.414676,-3.869881,-2.564006,-3.214949,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ID,ID,2011,-3.435553,-3.80482,-2.320095,-3.023035,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ID,ID,2012,-3.317337,-3.649282,-2.205945,-2.894133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ID,ID,2013,-3.185838,-3.53419,-2.074449,-2.961487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ID,ID,2014,-3.197886,-3.543202,-2.01288,-2.981379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ID,ID,2015,-3.344322,-3.673055,-2.313961,-3.116004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IL,IL,2006,-2.513372,-3.369237,-2.460442,-3.374133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IL,IL,2007,-2.484308,-3.324328,-2.371337,-2.585635,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IL,IL,2008,-2.495515,-3.306829,-2.158656,-2.294259,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IL,IL,2009,-2.487578,-3.292155,-2.261202,-2.447118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
